priority_rank,user_id,priority_score,fraud_events,transaction_count,fraud_rate_pct,fraud_rate_wilson_lower_pct,expected_fraud_events,fraud_excess_z,fraud_types,fraud_type_list,fraud_merchant_countries,fraud_merchant_country_list,fraud_currencies,repeatability_score,conviction_score,abnormality_score,breadth_score,severity_score,severity_only_rank,kyc_states,recorded_fraud_amount_by_currency,selection_rationale
1,dc283b17-bbe1-4ae9-a11c-0029d5ae71d9,99.40050167224081,1029,1029,100.0,99.62805526036132,20.29034050833467,221.22559840091688,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",11,"AUT, BRA, CAN, CHE, ESP, GBR, IRL, LUX, NLD, POL, USA",2,100.0,100.0,100.0,96.00334448160534,100.0,1,PENDING,"{""EUR"": 2558.0, ""GBP"": 60983930.0}","Priority rank 1: 1029 confirmed events across 5 transaction type(s) and 11 merchant country/countries. Strongest signals: repeatability (100.0/100), conservative fraud-rate conviction (100.0/100), excess fraud versus transaction mix (100.0/100). Amount severity is capped at 10% of the score."
2,b8271606-4633-4d8f-8729-a2c8ebb8a49f,97.84364548494983,340,340,100.0,98.88274135532174,7.931748453057661,114.3585222284232,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",3,"GBR, POL, USA",4,98.66220735785953,98.66220735785953,98.66220735785953,93.42809364548495,98.32775919732441,6,PASSED,"{""EUR"": 0.0, ""GBP"": 2138551.0, ""PLN"": 8960778.0, ""USD"": 728313.0}","Priority rank 2: 340 confirmed events across 5 transaction type(s) and 3 merchant country/countries. Strongest signals: repeatability (98.7/100), conservative fraud-rate conviction (98.7/100), excess fraud versus transaction mix (98.7/100). Amount severity is capped at 10% of the score."
3,25c2ecb3-5ec7-4fa6-8fc3-bbcf3a691217,97.56229096989966,460,460,100.0,99.17178623047178,10.723566274360968,134.1059975750186,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",5,"CHN, GBR, IRL, LUX, NLD",2,98.99665551839465,98.99665551839465,99.33110367892976,95.00836120401338,89.96655518394648,31,PASSED,"{""GBP"": 3620232.0, ""USD"": 0.0}","Priority rank 3: 460 confirmed events across 5 transaction type(s) and 5 merchant country/countries. Strongest signals: excess fraud versus transaction mix (99.3/100), repeatability (99.0/100), conservative fraud-rate conviction (99.0/100). Amount severity is capped at 10% of the score."
4,5c75c857-61f0-400e-ac7b-25451c57e8de,96.57943143812709,238,238,100.0,98.41152225258185,5.154321298262754,97.9214737083578,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",3,"FRA, GBR, IRL",2,97.9933110367893,97.9933110367893,97.65886287625418,92.02341137123746,93.47826086956522,20,PENDING,"{""EUR"": 2623.0, ""GBP"": 2494982.0}","Priority rank 4: 238 confirmed events across 5 transaction type(s) and 3 merchant country/countries. Strongest signals: repeatability (98.0/100), conservative fraud-rate conviction (98.0/100), excess fraud versus transaction mix (97.7/100). Amount severity is capped at 10% of the score."
5,4ee8690a-ebf7-435b-9fe2-103e8f83edc6,96.01212374581941,508,508,100.0,99.2494553002335,13.93311846714667,130.04859210376338,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",8,"AUS, CYP, DEU, FRA, GBR, IRL, NLD, USA",2,99.33110367892976,99.33110367892976,98.99665551839465,95.71070234113712,72.24080267558529,84,PASSED,"{""EUR"": 1000921.0, ""GBP"": 1949334.0}","Priority rank 5: 508 confirmed events across 5 transaction type(s) and 8 merchant country/countries. Strongest signals: repeatability (99.3/100), conservative fraud-rate conviction (99.3/100), excess fraud versus transaction mix (99.0/100). Amount severity is capped at 10% of the score."
6,6eb51e3f-6e8b-45ee-bf01-82495df9c930,94.89214046822741,590,590,100.0,99.35309348486196,12.623752151074214,159.37856194417733,4,"ATM, BANK_TRANSFER, CARD_PAYMENT, TOPUP",18,"AUS, BEL, CHE, CZE, DEU, DNK, ESP, FRA, GBR, IRL, LUX, MYS, NLD, NOR, SWE, THA, USA, VNM",4,99.66555183946488,99.66555183946488,99.66555183946488,85.90301003344482,72.5752508361204,83,PASSED,"{""EUR"": 7514.0, ""GBP"": 2530311.0, ""NOK"": 1361005.0, ""USD"": 20154.0}","Priority rank 6: 590 confirmed events across 4 transaction type(s) and 18 merchant country/countries. Strongest signals: repeatability (99.7/100), conservative fraud-rate conviction (99.7/100), excess fraud versus transaction mix (99.7/100). Amount severity is capped at 10% of the score."
7,e43ca889-da03-4192-badd-b4f2ca8fb9a1,94.02215719063544,274,274,100.0,98.61734167957572,6.413798730632073,101.76661942204125,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",8,"AUT, BEL, GBR, HUN, IRL, LUX, ROM, USA",2,98.32775919732441,98.32775919732441,98.32775919732441,95.71070234113712,59.19732441471572,123,PASSED,"{""EUR"": 5000.0, ""GBP"": 1963972.0}","Priority rank 7: 274 confirmed events across 5 transaction type(s) and 8 merchant country/countries. Strongest signals: repeatability (98.3/100), conservative fraud-rate conviction (98.3/100), excess fraud versus transaction mix (98.3/100). Amount severity is capped at 10% of the score."
8,2ba04c04-64a4-48f9-8f50-896f573a0845,93.72826086956523,200,200,100.0,98.11539940816793,4.581822082667903,86.6872511188615,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",2,"GBR, GIB",1,96.98996655518395,96.98996655518395,96.32107023411372,80.15050167224081,90.96989966555184,28,PASSED,"{""GBP"": 6107270.0}","Priority rank 8: 200 confirmed events across 5 transaction type(s) and 2 merchant country/countries. Strongest signals: repeatability (97.0/100), conservative fraud-rate conviction (97.0/100), excess fraud versus transaction mix (96.3/100). Amount severity is capped at 10% of the score."
9,3c11dc04-36f1-4412-8b00-82c7efa4cac2,93.22491638795987,189,189,100.0,98.00789871065166,4.352044372422473,83.82665213712339,4,"ATM, BANK_TRANSFER, CARD_PAYMENT, TOPUP",9,"AUT, CZE, ESP, FRA, GBR, IRL, MLT, NLD, USA",2,95.31772575250837,95.31772575250837,95.9866220735786,84.26421404682274,89.63210702341136,32,PASSED,"{""EUR"": 4163708.0, ""GBP"": 109206.0}","Priority rank 9: 189 confirmed events across 4 transaction type(s) and 9 merchant country/countries. Strongest signals: excess fraud versus transaction mix (96.0/100), repeatability (95.3/100), conservative fraud-rate conviction (95.3/100). Amount severity is capped at 10% of the score."
10,eea32e33-107a-49a5-91c1-3d10b118a154,91.16722408026756,225,225,100.0,98.32128424202591,5.163766280011496,92.37333283065759,5,"ATM, BANK_TRANSFER, CARD_PAYMENT, P2P, TOPUP",4,"GBR, IRL, LUX, NLD",1,97.32441471571906,97.32441471571906,97.32441471571906,86.8227424749164,51.50501672240802,146,PASSED,"{""GBP"": 1495876.0}","Priority rank 10: 225 confirmed events across 5 transaction type(s) and 4 merchant country/countries. Strongest signals: repeatability (97.3/100), conservative fraud-rate conviction (97.3/100), excess fraud versus transaction mix (97.3/100). Amount severity is capped at 10% of the score."
